docnum,Topic1,Topic2,Topic3,Topic4,doc_id,source,dominant_topic
1,1.232484745648472e-4,1.1139396566668325e-4,0.999611629161447,1.5372839832166466e-4,doc_01,Independent,Resource Rights & Conflict
2,2.492457734215077e-4,7.877021813653067e-5,9.119652653007776e-5,0.9995807874819118,doc_02,Independent,Legal Accountability & Validation
3,1.513794724927338e-4,0.9995065888683247,1.488895224201564e-4,1.9314213676162163e-4,doc_03,Independent,Community Identity & Place
4,0.9996402066480644,7.241205119931547e-5,8.672607529568327e-5,2.0065522544043026e-4,doc_04,official,Program Outcomes & Monitoring
5,0.9997182634164634,6.337994403444158e-5,7.622979127320494e-5,1.4212684822915558e-4,doc_05,official,Program Outcomes & Monitoring
